-14744513086.000000, -15068162380.045424
0.000000, 3734586771.019139
-15068162380.045424, -17247891078.063469
3734586771.019139, 9422789647.630104
-17247891078.063469, -22307432379.364223
9422789647.630104, 2517873495.814416
-22307432379.364223, -5431728871.511020
2517873495.814416, -8116491009.497000
-5431728871.511020, -26213307037.483421
-8116491009.497000, -9964380418.540874
-26213307037.483421, -7678202344.778215
-9964380418.540874, 10294008184.441906
-7678202344.778215, 4565991620.454822
10294008184.441906, 2530304682.438371
4565991620.454822, -4206234465.220186
2530304682.438371, -7485516738.725778
-4206234465.220186, -12845442911.421295
-7485516738.725778, -2823292616.886588
-12845442911.421295, -9748827191.465069
-2823292616.886588, 547126626.436971
-9748827191.465069, -2681346930.947672
547126626.436971, 389565065.269495
-2681346930.947672, -13959425161.554161
389565065.269495, 546045295.810581
-13959425161.554161, -11120892744.659248
546045295.810581, -2162689700.241710
-11120892744.659248, -9868180159.081219
-2162689700.241710, -1341327004.297155
-9868180159.081219, -10514493728.975245
-1341327004.297155, -2528001187.662387
-10514493728.975245, -11606151624.936584
-2528001187.662387, 1411438390.168572
-11606151624.936584, -11644715051.396210
1411438390.168572, -220925827.299888
-11644715051.396210, -12066311724.615656
-220925827.299888, -2920374428.666026
-12066311724.615656, -12022663098.612953
-2920374428.666026, -2230338523.023927
-12022663098.612953, -13283888721.929955
-2230338523.023927, -1909367254.895331
-13283888721.929955, -12681593565.420778
-1909367254.895331, -555083429.640299
-12681593565.420778, -14535260334.813732
-555083429.640299, -6126964221.883736
-14535260334.813732, -15288690822.095047
-6126964221.883736, -473244733.371937
-15288690822.095047, -8245304097.145244
-473244733.371937, -6355590796.428413
-8245304097.145244, -10431372128.138552
-6355590796.428413, -3237003283.336791
-10431372128.138552, -11151429439.043699
-3237003283.336791, -4536837170.763342
-11151429439.043699, -10464760065.841370
-4536837170.763342, -880861567.359526
-10464760065.841370, -10588132551.920752
-880861567.359526, -3587946928.996783
-10588132551.920752, -10450219647.751415
-3587946928.996783, -26443232.663043
-10450219647.751415, -10944615079.103050
-26443232.663043, -2186977004.170409
-10944615079.103050, -11792682814.853048
-2186977004.170409, -977261997.466904
-11792682814.853048, -10683074266.165047
-977261997.466904, -2113885549.421276
-10683074266.165047, -11268707443.409615
-2113885549.421276, -55868480.379031
-11268707443.409615, -12038618140.003841
-55868480.379031, -1528277215.528061
-12038618140.003841, -12047865717.652863
-1528277215.528061, -1727134186.005087
-12047865717.652863, -10372213640.875021
-1727134186.005087, -1402777880.247787
-10372213640.875021, -11412047682.383923
-1402777880.247787, -4050510529.430333
-11412047682.383923, -11866952562.191185
-4050510529.430333, -2232524089.319535
-11866952562.191185, -11751712583.515438
-2232524089.319535, -4593354807.177707
-11751712583.515438, -10809468708.079203
-4593354807.177707, -3638382365.939591
-10809468708.079203, -11797751698.594044
-3638382365.939591, -2415341785.241203
-11797751698.594044, -12299377693.564396
-2415341785.241203, -4281895137.308306
-12299377693.564396, -12076312221.764374
-4281895137.308306, -4499045361.383603
-12076312221.764374, -12447961700.549662
-4499045361.383603, -3605649427.146329
-12447961700.549662, -11723953273.264650
-3605649427.146329, -3948895141.175548
-11723953273.264650, -11624408685.994120
-3948895141.175548, -4420475588.130384
-11624408685.994120, -10899071319.917324
-4420475588.130384, -4081173682.438059
-10899071319.917324, -11127010698.405712
-4081173682.438059, -6619046486.345238
-11127010698.405712, -10367909893.915945
-6619046486.345238, -5299185731.050861
-10367909893.915945, -12046324745.375141
-5299185731.050861, -4631437549.939443
-12046324745.375141, -11757871714.213564
-4631437549.939443, -3697253487.434299
-11757871714.213564, -12504745573.579807
-3697253487.434299, -4319035371.109837
-12504745573.579807, -11754083440.868011
-4319035371.109837, -5060352555.607476
-11754083440.868011, -9529483651.748245
-5060352555.607476, -5685842077.018585
-9529483651.748245, -10876082213.959177
-5685842077.018585, -5675640348.169062
-10876082213.959177, -13674805314.969929
-5675640348.169062, -5843018508.165596
-13674805314.969929, -12714204980.409592
-5843018508.165596, -6508785486.952324
-12714204980.409592, -9940584750.427244
-6508785486.952324, -4431582365.213531
-9940584750.427244, -11586428855.318405
-4431582365.213531, -4010515595.163247
-11586428855.318405, -9930547264.220970
-4010515595.163247, -6350936988.915398
-9930547264.220970, -11364085342.806152
-6350936988.915398, -6190096299.192352
-11364085342.806152, -10335511731.102936
-6190096299.192352, -5168214503.596523
-10335511731.102936, -7956698063.103072
-5168214503.596523, -5807654833.891314
-7956698063.103072, -9813786594.188259
-5807654833.891314, -4776608911.077634
-9813786594.188259, -11238202302.401199
-4776608911.077634, -4418338083.848278
-11238202302.401199, -8662301236.545017
-4418338083.848278, -6592647882.070658
-8662301236.545017, -11838820637.095255
-6592647882.070658, -4504906142.629284
-11838820637.095255, -10068526134.844788
-4504906142.629284, -5674081429.956701
-10068526134.844788, -10271227429.675159
-5674081429.956701, -5262280567.059611
-10271227429.675159, -9249396026.430908
-5262280567.059611, -5876961383.391076
-9249396026.430908, -10764215439.942780
-5876961383.391076, -7819414479.097409
-10764215439.942780, -9503142996.512180
-7819414479.097409, -6200715679.127054
-9503142996.512180, -9924551545.222031
-6200715679.127054, -6239314506.045622
-9924551545.222031, -10254740240.723724
-6239314506.045622, -4842728888.996403
-10254740240.723724, -9771678773.502970
-4842728888.996403, -6751381469.405953
-9771678773.502970, -10016144686.386152
-6751381469.405953, -6824579276.375584
-10016144686.386152, -9894955096.752687
-6824579276.375584, -7034275181.219940
-9894955096.752687, -7018106596.368505
-7034275181.219940, -7092571244.278360
-7018106596.368505, -9269808758.237267
